"辞書
ページ"	見出し	見出しの漢字	見出しの説明	内容
616	あおぐ	〔扇ぐ〕		?oozuN
616	あおくさ	〔青草〕		?ookusa
616	あおさ		(植物名)	?aasa，?umi?aasa
616	あおさび	〔青錆〕		?oosabi
616	あおすじ	〔青筋〕		?ookazi
616	あおだいしょう	〔青大将〕		?oo?Nnazaa
616	あおだいず	〔青大豆〕		?oomaamii
616	あおだけ	〔青竹〕		?oodaki
616	あおな	〔青菜〕		?oohwa
616	あおにさい	〔青二才〕		?ooZeeniiSeegwaa
616	あおのり	〔青のり〕		?oonuuri/ ～の一種?aasa，?umi?aasa
616	あおば	〔青葉〕		?oobaa
616	あおばえ	〔青蝿〕		?oobee
616	あおびかり	〔青光り〕		?oobicai，?oobicee
616	あおむく	〔仰向く〕		→?ucagijuN
616	あおむけ	〔仰向け〕		maahwanacaa
616	あか	〔赤〕		?aka，?aka?iru，→まっか/ ～の他人 ?uhumicinuQcu，→?aka
616	あか	〔垢〕		hwiNgu，→gahwara/ ～がたまっている者 hwiNgaa，hwiNgaamajaa/ ～だらけ hwiNgujoogaci
616	あかあかと	〔赤赤と〕		?aka?akaatu/ ～つける Ciki?akagarasjuN
616	あかい	〔赤い〕		?akasaN/ ～色 ?aka?iru/～おべべbiNbiNjaajaa/ ～紙 ?akakabi，→sjugami/ ～麹 ?akakoozi/ ～元結い?akamuutii/ ～もの ?akaa/ ～夕日?akatiidaa/ 赤くなったさま ?akamigeei/赤くなる ?akanuN/ 赤ちゃけた髪の子供?akabusjaawarabaa/ 赤ちゃけた髪をしている者 ?akabusjaa，→?akagaNtaa
616	あかうし	〔赤牛〕		?aka?usi
616	あかがね	〔銅〕		?akugani，→どう
616	あかがわら	〔赤瓦〕		?akagaara
616	あかぎ	〔赤木〕	(植物名)	?akagi/ ～の実 ?akaginumuQkuu
616	あかぎれ	〔皹〕		hwibari，?asiziri，'juNziri，?asizirijuNziri
616	あかげ	〔赤毛〕		?akagii/ ～のおかっぱ ?akagaNtaa
616	あかさび	〔赤錆〕		?akasabi
616	あかじ	〔赤字〕		→?icaasikaNtii
616	あかす	〔明かす〕		?akasjuN
616	あかぞめ	〔赤染め〕		?akaZumii
616	あかつき	〔暁〕		→あけがた/ ～に起きること?akaCici?uki，→あさ
616	あかつきやみ	〔暁闇〕		?akaCicigurasiN
616	あかつち	〔赤土〕		?akaNca，maazi
616	あかにく	〔赤肉〕		maQsisi，masisi
616	あかはじ	〔赤恥〕		?akahazi，→はし
616	あかはだか	〔赤裸〕		→まるはだか
616	あかはな	〔赤鼻〕		?akabanaa
616	あかばむ	〔赤ばむ〕		?akanuN
616	あかひげ	〔赤ひげ〕		?akahwizaa，?akahwizi
616	あかみ	〔赤身〕		maQsisi，→あかにく
616	あかめがしわ		(植物名)	'jamajuuna
616	あかめばる		(魚名)	?akamiibaju
616	あがめる	〔崇める〕		?agamijuN，→とうとぶ/ ～こと ?waagami
616	あからがお	〔赤ら顔〕		?akaZiraa
616	あかり	〔明かり〕		?akagai
616	あがる	〔上がる〕		?agajuN，→nucagajuN，nusikajuN/(食べるの敬語)miSeeN，?usjagajuN
616	あかるい	〔明るい〕		→?aka?akaatu/～ことと暗いこと ?akasakurasa/ ～所 ?akagai/ 明るくなる ?akeejuN/ すっかり明るくなる ?akagaiCikijuN
616	あかるみ	〔明るみ〕		?akagai
616	あかんべえ			ciNbeeru ?akakoozi
616	あかんぼう	〔赤ん坊〕		?akaNgwa，?akaNgwaa，?jooii，?jooiigwaa，→siraQkwa/～の泣き声 ?Ngaa?Ngaa/ ～の出す声'Nkuu
617	あき	〔秋〕		?aci
617	あきだる	〔空き樽〕		tarugaa
617	あきだわら	〔空き俵〕		hwiihwaa，taaraguu
617	あきつば	〔秋津羽〕		→?akeZubaniNsu
617	あきっぽい	〔飽きっぽい〕		?acihatibeesaN
617	あきない	〔商い〕		?acinee，→しょうばい/～上手 ?acineezoozi
617	あきま	〔空き間〕		→すきま/ ～ができるmadoocuN/ ～を作る madookijuN
617	あきや	〔空き家〕		'Nnajaa
617	あきやしき	〔空き屋敷〕		'Nnajasici
617	あきらか	〔明らか〕		?aciraka/ ～になる?arawarijuN
617	あきらめ	〔諦め〕		'jasuNzi，?umiciri
617	あきらめる	〔諦める〕		'jasuNzijuN，?umicijuN，?uminagasjuN/ あきらめきれない→'watagurisjaN，こころのこり
617	あきる	〔飽きる〕		?acagajuN，nirijuN，?acihatijuN/ 飽き飽き cuhwaara/ 飽きが早い?acihatibeesaN/ 飽きたらぬ?acizaraN/ 飽きてしまう仕事?acihaisigutu
617	あきれた			→misinaaku，misinataaku，misinataraaku
617	あきんど			?acineeNcu，?acineesjaa，→?acoodaa，?acoodu
617	あく	〔空く〕		?acuN，?uCijuN/ 空いている畑 'Nnabataki/ ～こと ?uCiri
617	あく	〔開く〕		?acuN，hugijuN，huracuN，→goorijuN，ひらく
617	あく	〔灰汁〕		?aku，tuguru
617	あくえん	〔悪縁〕		?akuiN，→くされえん
617	あくじ	〔悪事〕		?aku，hwii，'janagutu
617	あくしゅう	〔悪臭〕		'janakaZa，→くさい
617	あくしゅう	〔悪習〕		'janahuuzi
617	あくしん	〔悪心〕		'janagukuru，'janazimu
617	あくた	〔芥〕		→ごみ
617	あくたび	〔芥火〕		?akutabii
617	あぐに	〔粟国〕	(地名)	/ ～の者 ?agunaa
617	あくにん	〔悪人〕		?akuniN，'janaa，→わるもの
617	あくび	〔欠伸〕		?akubi
617	あくまで			ziibuN/ ～も maamadiN
617	あくむ	〔悪夢〕		'jana?imi
617	あぐむ			-?agunuN
617	あぐら			?aNgweedui，?aNgweeii，→hwirasaN
617	あくりょう	〔悪霊〕		'janamuN
617	あくろ	〔悪路〕		'janamici
617	あげ	〔上げ〕		?agi/ 着物の～ neeciri
617	あげがし	〔揚げ菓子〕		?aNdaagii
617	あけがた	〔明け方〕		?akaCici，?akigata，→あかつき，よあけ/ ～の雲 ?akigumu/～の月 ?akaCicizicuu/ ～の星 ?akaCicibusi
617	あげくのはて			→?uZumi
617	あけくれ	〔明け暮れ〕		?akikuri，?asaju，?asajusa
617	あげさげ	〔上げ下げ〕		?agisagi
617	あけたて	〔開け立て〕		?akikwii
617	あげどうふ	〔揚げ豆腐〕		?agidoohu
617	あけのみょうじょう	〔明けの明星〕		'jookaabusi
617	あけはなす	〔開け放す〕		?akihanasjuN，→かいほうする
617	あけひろげる	〔開け広げる〕		?akihwirugijuN
617	あげまど	〔あげ窓〕		hwicidu
617	あげもの	〔揚げ物〕		?agimuN
617	あける	〔開ける・明ける〕		?akijuN，hugasjuN，?irihugasjuN，hurakijuN，hwirakijuN，→Cici?akijuN，ひらく
617	あける	〔空ける〕		?iihoojuN，?iikeerasjuN，?uCusjuN，?utijuN/ 汁を～saajuN/ あけて返すこと ?uCirikeei
617	あげる	〔上げる〕		?agijuN，nubusijuN，→?usjagijuN，さしあげる
617	あげる	〔揚げる〕		?agijuN
617	あご	〔顎〕		kakuzi，?utugee，?utugaku/～がすべすべした者?utugeenaNduruu/～の骨の張った者 habukakuzaa
617	あこう		(植物名)	?usuku
617	あごひげ			sicahwizi
618	あさ	〔朝〕		?asa，sutumiti/ ～早く起きること sutumiti?uki/ ～の日陰 ?asakaagi
618	あさ	〔麻〕		?asa/ ～の着物 ?asaziN
618	あざ	〔痣〕		sumi，suN
618	あざ	〔字〕		→mura
618	あさい	〔浅い〕		?aQsaN，?asasaN
618	あさがえり	〔朝帰り〕		→?akaCicimudui
618	あさがおな		(植物名)	?uNcee
618	あさぐもり	〔朝曇り〕		?asagumui
618	あざける	〔嘲る〕		?aZamucuN
618	あさごはん	〔朝御飯〕		sutumiti?ubuN，→あさめし
618	あさだち	〔朝立ち〕		?asadaci
618	あさづけ	〔浅漬け〕		→?asaZiki
618	あさって	〔明後日〕		?asati
618	あさっばら	〔朝っぱら〕		/ ～から?asaNnaara
618	あさつゆ	〔朝露〕		?asaCiju
618	あざな	〔字〕		?aZana
618	あさなぎ	〔朝凪〕		?asaduri
618	あさぬの	〔麻布〕		?asanunu/ ～の一種 ?aaraNcee，zoohu
618	あさね	〔朝寝〕		?asani，→あさねぼう/ ～昼寝 ?asanihwiNni
618	あさねぼう	〔朝寝坊〕		?asanaa，→ねぼう
618	あさばん	〔朝晩〕		?asabaN，→あさゆう
618	あさひ	〔朝日〕		?agaitiida
618	あさましい	〔浅間しい〕		?asamasjaN
618	あさまゆうま	〔朝間夕間〕		?asamajuma
618	あざみ		(植物名)	Cibana，'NziCicaa
618	あさめし	〔朝飯〕		sutimitimuN，sutumitimuN
618	あさやけ	〔朝焼け〕		?asa?akeei
618	あさゆう	〔朝夕〕		?asaju，?asajusa，?asamajuma，→あさばん
618	あさる	〔漁る〕		?asagujuN，?asajuN
618	あざわらい	〔あざ笑い〕		?aZamuciwaree，?aZawaree
618	あし	〔足〕		?asi，hwisja，(敬語)mihwisja→?asihwisja，/ ～がだるいhwisjadarusaN/ ～が強くなる kuNcuujuN/ ～の裏が切れること ?asiziri，?asizirijuNziri，'juNziri/ ～の甲 hwisjanaa/ ～の力?asidooni，hwisjazikara/ ～の付け根の骨 tumuguu/ ～の細い者 ciNciNbisjagwaa/ ～の骨 hwisjabuni/ ～の曲がった者 gooii/ ～の向くまま→hwisja/ ～の弱い者 ?asijoo，?asijoobaa
618	あじ	〔按司〕		?aNzi，?azi，→?azibi，-cara，?uduN，(敬語)?aziganasii，?aziganasiimee，?aziimee，?azimee，?aziSui/ ～の妻 'unazara，(敬語)?aQtoomee，?aQtooganasiimee
618	あじ	〔味〕		?azi/～が薄い?ahwasaN/～が薄くなる ?ahwageejuN，?ahwageerijuN/～のよいもの ?azikuutaa/ ～が足りない→kucisabiQsaN，sabiQsaN/ ～の足りないもの sabimuN/ ～の足りない吸いもの sabiziru
618	あじ	〔鯵〕		gaCuN
618	あしあと	〔足あと〕		hwisjakata
618	あしおと	〔足音〕		?asitu，?asi?utu
618	あしかせ	〔足枷〕		?asiguruma
618	あしくび	〔足首〕		hwisjakubi
618	あしこし	〔足腰〕		?asikusi
618	あしずり	〔足ずり〕		?aduSiriSiri，hwisjaSiriSiri
618	あした	〔明日〕		?aca/ ～の朝 ?aca?asa，?acasutumiti/～の晩 ?acajusaNdi/～の夜 ?acajuru
618	あしだ	〔足駄〕		tacibaa?asiza
618	あしならし	〔足ならし〕		?aQcinaree
618	あしのうら	〔足の裏〕		hwisjanuwata
618	あじみ	〔味見〕		?azi，?ucuubi
618	あしもと	〔足もと〕		→?aCizii
618	あしよわ	〔足弱〕		?asijoo，?asijoobaa
618	あしらう			?asireejuN
618	あじろ	〔網代〕		?aNnumii，cinibu，soozi/～の一種 'waisoozi/ ～の垣根 cinibugaci
619	あじわい	〔味わい〕		?aziwee，→ふうみ/ ～がある →kuubeesaN/ ～のあるもの ?azikuutaa
619	あす	〔明日〕		→あした
619	あずかりもの	〔預かりもの〕		→tui?aZikee
619	あずかる	〔預かる〕		?azikajuN，saZakajuN
619	あずき	〔小豆〕		?akamaamii，mamami/～を入れた御飯 ?akamaamii?ubuN
619	あずきがゆ			→?ukee
619	あずける	〔預ける〕		?azikijuN
619	あせ	〔汗〕		?asi，→hwizuru?asi/ ～水流して ?asihaimiZihai/ 鼻にかく～hana?asi
619	あぜ	〔畦〕		?abusi
619	あせかき	〔汗かき〕		?asihajaa
619	あせばむ	〔汗ばむ〕		?asigunuN
619	あぜみち	〔畦道〕		?abusimici
619	あせも	〔汗疹〕		?asibu，sabee
619	あせり	〔焦り〕		?asigaci，→?asigacinoori
619	あせる	〔褪せる〕		samijuN
619	あせる	〔焦る〕		?asigacuN，→taagusa/ ～さま →hatahata
619	あぜんとする	〔唖然とする〕		→miiNnabai/ ～こと miihaigutu
619	あそこ			?ama
619	あそばす	〔遊ばす〕	(敬語)	miSeeN
619	あそび	〔遊び〕		?aSibi，→-mutaaN/ ～の盛んな村 →?aSibiguni
619	あそびしごと	〔遊び仕事〕		?aSibisigutu，?aSibisikuci
619	あそびともだち	〔遊び友達〕		?aSibidusi
619	あそびにん	〔遊び人〕		?aSibaa，?aSibjaa，'jurarijaa，'juutee，kwatii
619	あそぶ	〔遊ぶ〕		?aSibuN/ ～ために忙しいこと ?aSibi?icunasa/ 遊びほうけること ?aSibiburi
619	あだ	〔徒〕		?ada
619	あだ	〔仇〕		?ada，→かたき
619	あたえる	〔与える〕		→やる
619	あたたかい	〔暖かい〕		nukusaN/ ～地方 nukuguni/ ～所 nukudukuru/ ～年 nukudusi/ 暖かくなる nukubaajuN
619	あたたかみ	〔暖かみ〕		→?ukani
619	あたたまる	〔暖まる〕		?aCirijuN，nukunuN，nukutamajuN
619	あたためかえし	〔暖め返し〕		?aCirasikeesaa，?Nburasikeesaa，tazirasikeesaa
619	あたためかえす	〔暖め返す〕		→tazirasjuN
619	あたためる	〔暖める〕		?aCirasjuN，nukumijuN，nakutamijuN，→kamirasjuN
619	あだな	〔あだ名〕		?aZanaa，gucinaa
619	あたま	〔頭〕		Ciburu，→?atama，Ciburuguu，kamaci/ ～が重いこと Ciburu?Nbuu/ ～で突き上げる CicikamijuN/～にのせて運ぶ荷物 kaminii/ ～にのせる kamijuN/ ～のてっぺん hjuuruci/～をかかえこむ →tii/ ～を掻くこと siraNgaci/ ～をさげる →?uhukubi/ ～をなやます →?aNmasjaN
619	あたまわり	〔頭割り〕		?atamawai，Ciburuwai，Ciziwai
619	あたら			?aQtara，?atara
619	あたらしい	〔新しい〕		miisaN，mii-，sara-/～家 miijaa/ ～着物 miiziN/ ～仕立てsiNsitati/ ～もの miimuN，saramiimuN/ 新しく miikuni，miikuN
619	あたり	〔辺り〕		hwiN，-kaa，maNgura，→ciNpoo，-nagii
619	あたりまえ	〔当たり前〕		?ataimee，zuN，→とうぜん
619	あたる	〔当たる〕		?atajuN，→そうとうする/当たらずといえども遠からず tuuja nukaN
619	あだん	〔阿旦〕	(植物名)	?adani，?adaN/～の気根 ?adanasi/ ～の葉 ?adaNbaa/～の葉の草履 ?adaNbaasaba/ ～の葉のむしろ ?adaNbaamusiru
619	あちこち			?amakuma，?arikaakurikaa，?Nmakuma，→ほうぼう/ ～でちょこちょこ仕事をするさま ?Nmagasagasakumagasagasa
619	あちら			→あっち
619	あちらがわ	〔あちら側〕		?agata，?amamuti
620	あちらこちら			→あちこち
620	あつい	〔暑い〕		?aCisaN，→humicuN/～地方?aCiguni/～真昼mahuQkwa/暑くてふうふういうさま ?aCijaahuujaa
620	あつい	〔熱い〕		?aCisaN/～うちに?aCikookoo/～もの(小児語)?acuu，?aQcuu/熱くする?aCirasjuN/熱くなる ?aCirijuN
620	あつい	〔厚い〕		?aCisaN/厚く→butaaku
620	あつかい	〔扱い〕		tuNzaku，→とりあつかい
620	あつかう	〔扱う〕		?aCikajuN，→とりあつかう/扱いにくい ?aCikeegurisjaN
620	あつかましい			→こうがん，ずうずうしい/～者Ciranukaa?aCii/～顔zira
620	あつがり	〔暑がり〕		?aCisa?umii
620	あつがる	〔暑がる〕		/～さま ?aCijaahuujaa
620	あつさ	〔暑さ〕		→humici/～嫌い ?aCisakamarasaa/～で腐りかかったにおいhumicikaza/ ～に負けることhumicimaki/残暑'wakari?aCisa
620	あっさり			/～した人ZaQtuu
620	あっち			?ama/～でもこっちでも ?iQpeekuQpee/～の方?agata，?amamuti/～を読んだりこっちを読んだり?amajumikumajumi
620	あっとうされる	〔圧倒される〕		?usaarijuN，→くっぷくする
620	あつばい	〔熱灰〕		?aCibee
620	あっばくする	〔圧迫する〕		?usiCikijuN
620	あっはっは			?ahahaa
620	あつまり	〔集まり〕		surii，→taciisurii/～のあるさまsuriimaNdoo
620	あつまる	〔集まる〕		?aCimajuN，'jujuN，'jureejuN，surijuN，→takarijuN，いしゅうする
620	あつめる	〔集める〕		?aCimijuN，'juraasjuN，suraasjuN，→とりあつめる
620	あつらえ			?aCiree，(敬語)?waaCiree，→ちゅうもん
620	あつらえもの	〔誂え物〕		?aCireemuN
620	あつらえる	〔誂える〕		?aCireejuN，→ちゅうもん
620	あて	〔当て〕		?ati，miZimui，→みこみ/～がはずれる ?atikawajuN/～がはずれること miihaNdaa，miihaNnuu，miZimuisooi/～にするCimujuN，tarugakijuN
620	あてこすり			?uranucimunii，?uranucimunu?ii
620	あてずいりょう	〔あて推量〕		saQcuu，cimu?atigee，?atigeehuu/～でものを言うことsaQcuumunu?ii
620	あてずっぽう			?atigeehuu，?atitiNpuu，?atitiQpuu
620	あてつけがましく			'wacakoogeezi
620	あてる	〔当てる〕		?atijuN
620	あと	〔後〕		?atu，→うしろ/ ～になり先になり ?atunaisacinai，?uueekuuee/ ～の方がかえってよくなること ?atumasaigahuu/ ～をつけること ?atu?wii
620	あと	〔跡〕		→?atu/～を引いて流れることsicabai
620	あとあし	〔あと足〕		?atubisja
620	あとあじ	〔後味〕		/～が悪い →'wiNturukaasjaN
620	あとあと			?atu?atu
620	あとおし	〔あと押し〕		?atu?usii
620	あとかた	〔跡かた〕		?atukata，kata
620	あとかたづけ	〔あと片付け〕		?atukataZiki
620	あどけない			/～さま ?atiQteeN/～もの?atinasi
620	あとさき	〔後先〕		?atusaci
620	あとざん	〔後産〕		?ija
620	あとしまつ	〔あと始末〕		?atukataZiki，Cikituduki，→しりぬぐい
620	あとずさり			?atuSizici，→あともどり，しりごみ
620	あとつぎ	〔跡継ぎ〕		?atuCizi，?atumi，→あととり，そうぞくにん
620	あととり	〔跡取り〕		caQci，→ちゃくし
620	あとばらい	〔あと払い〕		sagai
620	あとめ	〔跡目〕		?atumi，→あとつぎ
620	あともどり	〔あと戻り〕		?atumudui，→あとずさり/～する?uQceejuN
620	あな	〔穴〕		?ana，hugi，mii/ ～があいたものhugimuN/～があく hugijuN →goorijuN/ ～だらけ miimiihuugaa/～をあける hugasjuN
621	あなあきせん	〔穴あき銭〕		miihugaa
621	あなた			naa，?uNzu，?uNzunaa，→おまえ，きさま，(敬語)kuma，mjuNzu，njuNzu，nuNzu/ ～自身で ?uNzukuru
621	あなたがた			?uNzunaa，→おまえたち
621	あなとうと			?aatootu，?uutootu
621	あなどる	〔侮る〕		?uSeejuN，'uuzuN，→みくびる/ことを～こと kutu?uSeei
621	あに	〔兄〕		?ahwii，'jaQcii，'jakumii，SiiZa，'wikigaSiiZa，(敬語)?umikiinumee，?umiSiiZa，→?aQpii，'wikii/上の～?uhu?ahwii，?uhujaQcii/ 下の～?ahwiigwaa/ ～と妹→'unaiwikii
621	あによめ	〔兄嫁〕	(敬語)	?umanii，?umanimee
621	あね	〔姉〕		?aNgwaa，?Nmii，SiiZaunai，'unai，'winagusiiZa，(敬語)?uminai，→?abaa，SiiZa/上の～?uhu?Nmii/下の～?Nmiigwaa/～と弟→'unaiwikii/ 既婚の～(敬語)?umanii，?umanimee
621	あの			?anu/ ～大きさの ?aQpeeru/ ～くらい→あれくらい/ ～ころ ?anukuru/～高さ ?adaki/ ～遠さ ?agatoo/ ～時?anutuci/ ～とし →?anuca，?anujuca/～長さ ?anagi/ ～人 ?anuQcu，(敬語)?ama/ ～人たち ?aQtaa/ ～辺 ?anuhwiN，?amarikaa，?arikaa/ ～まま?anumama/ ～野郎 ?anihjaa，?anuhjaa/～ような ?aneeru，?anugutooru，?aNgutooru，→?anujoo/ ～ようなもの ?anugutooruu，?aNgutooruu/ ～ように ?anugutu，?aNgutu，→?anujoo
621	あのよ	〔あの世〕		?anujuu，giraikanai，gireekanee，gusjoo，niraikanai，nireekanee，→しご
621	あばく	〔発く〕		?arawasjuN
621	あばずれ			baacira，hoorimuN
621	あばた	〔痘痕〕		kumuzaa，kumuzi，maazaa/ ～のある者 kumuzaa，maazaa
621	あばばばば			?awaawaa
621	あばらぼね	〔あばら骨〕		sookibuni
621	あばらや			?abaraja
621	あばれうま	〔暴れ馬〕		→hwiNcaa?Nma，あらうま
621	あばれもの	〔暴れ者〕		?amaimuN，?amajaa，→らんぼう者
621	あばれる	〔暴れる〕		?amajuN
621	あびせる	〔浴びせる〕		kuNcakijuN
621	あひる	〔家鴨〕		?ahwiraa，?ahwiru
621	あびる	〔浴びる〕		kuNcakajuN
621	あぶく			→あわ
621	あぶない	〔危い〕		?abunasjaN，?ajaQsaN，?ukaasjaN，→haNtasjaN，kuuwee，'uci，'uciuci/～ふるまい，tihwanawaZa
621	あぶみ	〔鐙〕		?abui
621	あぶら	〔油・脂〕		?aNda，→しぼう/ ～で揚げる時の音 caaracaara/ ～でいためる→いためる/ ～を煮たたせた鍋?aNdanaabi/ ～を入れるとっくり，?aNdaduQkui，→あぶらつぼ
621	あぶらあげ	〔油揚げ〕		?agidoohu
621	あぶらあせ	〔脂汗〕		namasibai
621	あぶらいため	〔油いため〕		caaraa，?iricii，→caNpuruu
621	あぶらかす	〔脂かす〕		?aNdakaSi
621	あぶらがめ	〔油がめ〕		→あぶらつぼ
621	あぶらぎる	〔脂ぎる〕		?aNdamaajuN
621	あぶらぐち	〔油口〕		→おせじ，かんげん
621	あぶらざら	〔油皿〕		sizici
621	あぶらぜみ			naabikacikacii
621	あぶらっこい	〔脂っこい〕		?aNdazuusaN/ ～さま ?aNdabutubutu
621	あぶらつぼ	〔油壺〕		?aNdaCibu，?aNdaduQkui
621	あぶらみ	〔脂身〕		?aNdabutubutu，sirumi
621	あぶらむし	〔油虫〕		hwiiraa
621	あぶらや	〔油屋〕		?aNdajaa
621	あぶる	〔炙る〕		?abujuN，?aNzuN
621	あふれる	〔溢れる〕		?aNdijuN/ 溢れさせる ?aNdasjuN
622	あべこべ			?urahara，→さかさま
622	あま	〔阿魔〕		'jumuwinagu，→おんな
622	あまい	〔甘い〕		?amasaN，→kwaNgwaaraasjaN，あまみ/ ～もの ?amamuN/甘くなり過ぎる ?amabirijuN
622	あまがさ	〔雨傘〕		?amagasa
622	あまくだり	〔天降り〕		?amari，?ama?uri，?amooi，?amoori，?amori
622	あまぐも	〔雨雲〕		?amigumu，→くろくも
622	あまごい	〔雨乞い〕		?amagui
622	あまごもり	〔雨ごもり〕		?amihuigumai，→あまやどり
622	あまざけ	〔甘酒〕		?uNsjaku/ ～の一種?amagasi
622	あまじお	〔甘塩〕		?amazuu
622	あまじたく	〔雨支度〕		?amihuizitaku
622	あます	〔余す〕		?amasjuN
622	あまだれ	〔雨だれ〕		?amidaimiZi
622	あまど	〔雨戸〕		hasiru
622	あまのがわ	〔天の川〕		tiNgaara
622	あまのじゃく			?amagaku，?amagakaa
622	あまみ	〔甘味〕		?amami，→あまい
622	あまみおおしま	〔奄美大島〕		?uusima
622	あまみぐんとう	〔奄美群島〕		→micinusima
622	あまもよう	〔雨模様〕		?amimujuusi
622	あまやかす	〔甘やかす〕		→kwaNgwaaraasjaN/ 甘やかして育てること →tuitakatee
622	あまやどり	〔雨宿り〕		/～する→kwaQkwijuN
622	あまり	〔余り〕		?amai，→よぶん
622	あまりもの	〔余りもの〕		?amaimuN，'juu?amai，→よぶん
622	あまる	〔余る〕		?amajuN
622	あみ	〔網〕		?ami，→?abuikuu
622	あみがさ	〔編笠〕		?amigasa，?aNzasa，→ふかあみがさ
622	あむ	〔編む〕		kunuN
622	あめ	〔雨〕		?ami，→simu/ ～が上がるharijuN，hjaagajuN，→sasanuN/ ～が降りこむこと ?uci?ami/ ～が降りそうである ?amihuigisaN/ ～と露 ?amiCiju/～の原因となるもの?aminunii/ ～の降りそうな気配 ?amimujuusi/ 冬の冷たい～simu
622	あめ	〔飴〕		?ami
622	あめかぜ	〔雨風〕		?amikazi
622	あめふり	〔雨降り〕		?amihui，?utiN/ ～続き ?amihuiCizici/ ～のあと ?amihuinu?atu
622	アメリカ			?amirika
622	アメリカじん			→?amirikaa
622	あやうく	〔危うく〕		huda，hudagasi，hudaganasi 'jagati
622	あやかる			?ajakaajuN
622	あやしい	〔怪しい〕		hwirumasjaN/ ～音→cigutu/ ～こと →?usaN
622	あやす			SikasjuN，SiSikaasjuN
622	あやふやである			haNtasjaN
622	あやまち	〔誤ち〕		?ajamaci，?ajamai，?ajamaigutu，?ajamari，baQpee，husuku
622	あやまり	〔誤り〕		→まちがい
